Tax_per_unit_vol,GTO_per_unit_vol,segment,sub_segment,Brand,Sub_Brand,Pack_Type,province,Discount_Total,Premium,Tier 1,Tier 2,RETURNABLE
14.99639518799514,258.0,Drink Led,Party Place,JUPILER,JUPILER PILS,BULK,Antwerp,14511.46,0,1,0,0
25.46127450980392,294.1666666666667,Drink Led,Party Place,JUPILER,JUPILER PILS,BOTTLE,Antwerp,1605.19,0,1,0,1
24.0525,254.28,Drink Led,Party Place,JUPILER,JUPILER PILS,KEG,Antwerp,718.32,0,1,0,1
5.166666666666667,347.0,Institutional,Institutional,JUPILER,"JUPILER 0,0",BOTTLE,Namur,0.0,0,0,1,1
25.45,294.1666666666667,Institutional,Institutional,JUPILER,JUPILER PILS,BOTTLE,Namur,0.0,0,0,1,1
5.411816578483245,196.44179894179896,Institutional,Institutional,PIEDBOEUF,PIEDBOEUF BLONDE,BOTTLE,Namur,686.13,0,0,1,1
5.418537708693149,196.44156591824984,Institutional,Institutional,PIEDBOEUF,PIEDBOEUF FONCEE,BOTTLE,Namur,1050.98,0,0,1,1
25.333333333333336,294.16666666666663,Institutional,Institutional,JUPILER,JUPILER PILS,BOTTLE,Namur,0.0,0,1,0,1
5.444444444444445,196.44444444444446,Entertainment Led,Events,PIEDBOEUF,PIEDBOEUF FONCEE,BOTTLE,Liège,1.72,0,0,1,1
24.05,247.26315789473685,Entertainment Led,Events,DIEKIRCH,DIEKIRCH PILS,KEG,Liège,84.81,0,0,1,1
25.5,294.16666666666663,Institutional,Institutional,JUPILER,JUPILER PILS,BOTTLE,Limburg,0.0,0,1,0,1
25.458333333333336,453.3333333333333,Institutional,Institutional,BELLE VUE,BELLE VUE EXTRA KRIEK,BOTTLE,Hainaut,10.27,0,1,0,1
21.5,349.6666666666667,Institutional,Institutional,HOEGAARDEN,HOEGAARDEN ROSEE,BOTTLE,Hainaut,3.94,0,1,0,1
25.333333333333336,302.83333333333337,Institutional,Institutional,HOEGAARDEN,HOEGAARDEN WHITE,BOTTLE,Hainaut,1.66,0,1,0,1
5.166666666666667,347.0,Institutional,Institutional,JUPILER,"JUPILER 0,0",BOTTLE,Hainaut,4.1,0,1,0,1
