Tax_per_unit_vol,GTO_per_unit_vol,segment,sub_segment,Brand,Sub_Brand,Pack_Type,province,Discount_Total,Premium,Tier 1,Tier 2,RETURNABLE
33.8801261829653,338.9274447949527,Entertainment Led,Events,JUPILER,JUPILER PILS,CAN,Hainaut,0.0,0,1,0,0
24.049999999999997,258.93333333333334,Institutional,Institutional,JUPILER,JUPILER PILS,KEG,East Flanders,0.0,0,0,1,1
21.5,349.75,Drink Led,Bar,HOEGAARDEN,HOEGAARDEN ROSEE,BOTTLE,Flemish Brabant,0.0,0,1,0,1
5.126582278481013,379.9367088607595,Drink Led,Bar,LEFFE,LEFFE SANS ALCOOL/ALCOHOLVRIJ,BOTTLE,Flemish Brabant,0.0,0,1,0,1
24.056,261.34000000000003,Drink Led,Bar,STELLA ARTOIS,STELLA ARTOIS REGULAR,KEG,Flemish Brabant,0.0,0,1,0,1
24.051666666666666,254.28,Drink Led,Bar,JUPILER,JUPILER PILS,KEG,Liège,385.35,0,1,0,1
25.458333333333336,294.16666666666663,Drink Led,Bar,JUPILER,JUPILER PILS,BOTTLE,Liège,0.0,0,0,1,1
24.051063829787235,254.97304964539006,Drink Led,Bar,JUPILER,JUPILER PILS,KEG,Liège,0.0,0,0,1,1
25.466666666666665,294.1666666666667,Institutional,Institutional,JUPILER,JUPILER PILS,BOTTLE,Limburg,16.12,0,0,1,1
25.333333333333336,453.3333333333333,Drink Led,Bar,BELLE VUE,BELLE VUE EXTRA KRIEK,BOTTLE,Walloon Brabant,11.82,0,0,1,1
21.370370370370367,349.66666666666663,Drink Led,Bar,HOEGAARDEN,HOEGAARDEN ROSEE,BOTTLE,Walloon Brabant,42.48,0,0,1,1
25.380952380952383,302.8333333333333,Drink Led,Bar,HOEGAARDEN,HOEGAARDEN WHITE,BOTTLE,Walloon Brabant,28.77,0,0,1,1
25.333333333333336,294.16666666666663,Drink Led,Bar,JUPILER,JUPILER PILS,BOTTLE,Walloon Brabant,3.22,0,0,1,1
33.54430379746835,389.1139240506329,Drink Led,Bar,LEFFE,LEFFE BLONDE,BOTTLE,Walloon Brabant,33.3,0,0,1,1
33.54430379746835,389.1139240506329,Drink Led,Bar,LEFFE,LEFFE BRUNE,BOTTLE,Walloon Brabant,5.62,0,0,1,1
24.049999999999997,408.29999999999995,Drink Led,Bar,BELLE VUE,BELLE VUE EXTRA KRIEK,KEG,Walloon Brabant,15.37,0,0,1,1
24.051578947368423,254.27999999999997,Drink Led,Bar,JUPILER,JUPILER PILS,KEG,Walloon Brabant,554.45,0,0,1,1
42.434017595307914,450.26392961876826,Drink Led,Bar,CORONA,CORONA EXTRA,BOTTLE,Flemish Brabant,16.37,0,0,1,0
25.5,453.3333333333333,Drink Led,Bar,BELLE VUE,BELLE VUE EXTRA KRIEK,BOTTLE,Flemish Brabant,12.84,0,0,1,1
25.5,302.83333333333337,Drink Led,Bar,HOEGAARDEN,HOEGAARDEN WHITE,BOTTLE,Flemish Brabant,8.32,0,0,1,1
5.166666666666667,347.0,Drink Led,Bar,JUPILER,"JUPILER 0,0",BOTTLE,Flemish Brabant,10.26,0,0,1,1
33.4453781512605,387.47899159663865,Drink Led,Bar,LEFFE,LEFFE BRUNE,BOTTLE,Flemish Brabant,21.07,0,0,1,1
24.05,265.0,Drink Led,Bar,JUPILER,JUPILER PILS,KEG,Flemish Brabant,277.09,0,0,1,1
32.074999999999996,386.79999999999995,Drink Led,Bar,LEFFE,LEFFE BLONDE,KEG,Flemish Brabant,35.47,0,0,1,1
36.05,360.95,Drink Led,Bar,TRIPEL KARMELIET,TRIPEL KARMELIET,KEG,Flemish Brabant,32.49,0,0,1,1
34.0,454.7058823529411,Drink Led,Beer bar,CORONA,CORONA EXTRA,BOTTLE,Luxembourg,10.72,0,0,1,0
37.974683544303794,429.2405063291139,Drink Led,Beer bar,CUBANISTO,CUBANISTO RUM,BOTTLE,Luxembourg,12.64,0,0,1,0
33.924050632911396,304.43037974683546,Drink Led,Beer bar,GINETTE, GINETTE LAGER,BOTTLE,Luxembourg,3.21,0,0,1,0
25.375,453.3333333333333,Drink Led,Beer bar,BELLE VUE,BELLE VUE EXTRA KRIEK,BOTTLE,Luxembourg,30.8,0,0,1,1
21.366666666666667,349.65,Drink Led,Beer bar,HOEGAARDEN,HOEGAARDEN ROSEE,BOTTLE,Luxembourg,22.08,0,0,1,1
25.333333333333332,302.8333333333333,Drink Led,Beer bar,HOEGAARDEN,HOEGAARDEN WHITE,BOTTLE,Luxembourg,3.02,0,0,1,1
17.333333333333336,342.6666666666667,Drink Led,Beer bar,HOEGAARDEN,HOEGAARDEN YELLOW,BOTTLE,Luxembourg,2.93,0,0,1,1
5.166666666666667,347.0,Drink Led,Beer bar,JUPILER,"JUPILER 0,0",BOTTLE,Luxembourg,4.88,0,0,1,1
25.5,294.16666666666663,Drink Led,Beer bar,JUPILER,JUPILER PILS,BOTTLE,Luxembourg,4.84,0,0,1,1
41.518987341772146,377.34177215189874,Drink Led,Beer bar,KWAK,KWAK,BOTTLE,Luxembourg,7.96,0,0,1,1
33.54430379746835,389.1139240506329,Drink Led,Beer bar,LEFFE,FLAVOURED ALCOHOLIC,BOTTLE,Luxembourg,8.42,0,0,1,1
33.521400778210115,388.73540856031127,Drink Led,Beer bar,LEFFE,LEFFE BLONDE,BOTTLE,Luxembourg,42.51,0,0,1,1
33.54430379746836,389.113924050633,Drink Led,Beer bar,LEFFE,LEFFE BRUNE,BOTTLE,Luxembourg,26.6,0,0,1,1
29.49367088607595,388.1012658227848,Drink Led,Beer bar,LEFFE,LEFFE RUBY,BOTTLE,Luxembourg,-1.99,0,0,1,1
5.189873417721518,380.0,Drink Led,Beer bar,LEFFE,LEFFE SANS ALCOOL/ALCOHOLVRIJ,BOTTLE,Luxembourg,4.44,0,0,1,1
24.051729323308273,254.27999999999997,Drink Led,Beer bar,JUPILER,JUPILER PILS,KEG,Luxembourg,680.29,0,0,1,1
32.050000000000004,364.8,Drink Led,Beer bar,SCOTCH CTS,SCOTCH CTS,KEG,Luxembourg,29.94,0,0,1,1
36.050000000000004,360.95,Drink Led,Beer bar,TRIPEL KARMELIET,TRIPEL KARMELIET,KEG,Luxembourg,136.48,0,0,1,1
25.333333333333336,573.3333333333334,Drink Led,Beer bar,BASS,BASS PALE ALE,BOTTLE,Hainaut,7.23,0,1,0,1
25.333333333333336,453.3333333333333,Drink Led,Beer bar,BELLE VUE,BELLE VUE EXTRA KRIEK,BOTTLE,Hainaut,5.65,0,1,0,1
25.333333333333336,413.8333333333333,Drink Led,Beer bar,BELLE VUE,BELLE VUE GUEUZE,BOTTLE,Hainaut,5.13,0,1,0,1
21.333333333333336,349.6666666666667,Drink Led,Beer bar,HOEGAARDEN,HOEGAARDEN ROSEE,BOTTLE,Hainaut,4.33,0,1,0,1
25.333333333333336,302.83333333333337,Drink Led,Beer bar,HOEGAARDEN,HOEGAARDEN WHITE,BOTTLE,Hainaut,3.66,0,1,0,1
17.333333333333336,342.6666666666667,Drink Led,Beer bar,HOEGAARDEN,HOEGAARDEN YELLOW,BOTTLE,Hainaut,4.29,0,1,0,1
5.166666666666667,347.0,Drink Led,Beer bar,JUPILER,"JUPILER 0,0",BOTTLE,Hainaut,4.51,0,1,0,1
41.518987341772146,377.34177215189874,Drink Led,Beer bar,KWAK,KWAK,BOTTLE,Hainaut,5.84,0,1,0,1
33.54430379746835,389.1139240506329,Drink Led,Beer bar,LEFFE,LEFFE BRUNE,BOTTLE,Hainaut,6.18,0,1,0,1
29.375,383.25,Drink Led,Beer bar,LEFFE,LEFFE RUBY,BOTTLE,Hainaut,6.24,0,1,0,1
5.189873417721518,380.0,Drink Led,Beer bar,LEFFE,LEFFE SANS ALCOOL/ALCOHOLVRIJ,BOTTLE,Hainaut,6.51,0,1,0,1
41.518987341772146,417.2151898734177,Drink Led,Beer bar,TRIPEL KARMELIET,TRIPEL KARMELIET,BOTTLE,Hainaut,6.53,0,1,0,1
21.333333333333336,362.8333333333333,Drink Led,Beer bar,VIEUX TEMPS,VIEUX TEMPS REGULAR,BOTTLE,Hainaut,4.51,0,1,0,1
24.053076923076922,254.28,Drink Led,Beer bar,JUPILER,JUPILER PILS,KEG,Hainaut,607.8,0,1,0,1
32.06666666666667,368.73333333333335,Drink Led,Beer bar,LEFFE,LEFFE BLONDE,KEG,Hainaut,133.32,0,1,0,1
28.066666666666666,414.45,Drink Led,Beer bar,LEFFE,LEFFE RUBY,KEG,Hainaut,51.0,0,1,0,1
32.06666666666666,364.8,Drink Led,Beer bar,SCOTCH CTS,SCOTCH CTS,KEG,Hainaut,117.12,0,1,0,1
33.888888888888886,403.7777777777778,Drink Led,Bar,HOEGAARDEN,HOEGAARDEN WHITE,BOTTLE,Antwerp,0.96,0,1,0,1
7.750000000000001,520.5,Drink Led,Bar,JUPILER,"JUPILER 0,0",BOTTLE,Antwerp,1.44,0,1,0,1
31.833333333333332,367.70833333333337,Drink Led,Bar,JUPILER,JUPILER PILS,BOTTLE,Antwerp,0.0,0,1,0,1
26.05666666666667,261.34,Drink Led,Bar,STELLA ARTOIS,STELLA ARTOIS REGULAR,KEG,Antwerp,68.02,0,1,0,1
